LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,INFRAINVEST,RAIL,EUR,A,2014,4320269258,
AUS,INFRAINVEST,RAIL,EUR,A,2015,2796273622,
AUS,INFRAINVEST,RAIL,EUR,A,2016,2563852636,
AUS,INFRAINVEST,RAIL,EUR,A,2017,3825342110,
AUS,INFRAINVEST,RAIL,EUR,A,2018,5025635393,
AUS,INFRAINVEST,ROAD,EUR,A,2014,10438895604,
AUS,INFRAINVEST,ROAD,EUR,A,2015,10457074593,
AUS,INFRAINVEST,ROAD,EUR,A,2016,11863364267,
AUS,INFRAINVEST,ROAD,EUR,A,2017,13676319910,
AUS,INFRAINVEST,ROAD,EUR,A,2018,14717863171,
AUT,INFRAINVEST,RAIL,EUR,A,2014,1567000000,
AUT,INFRAINVEST,RAIL,EUR,A,2015,1549000000,
AUT,INFRAINVEST,RAIL,EUR,A,2016,1523000000,
AUT,INFRAINVEST,RAIL,EUR,A,2017,1552000000,
AUT,INFRAINVEST,RAIL,EUR,A,2018,1682000000,
AUT,INFRAINVEST,ROAD,EUR,A,2014,453000000,
AUT,INFRAINVEST,ROAD,EUR,A,2015,455000000,
AUT,INFRAINVEST,ROAD,EUR,A,2016,444000000,
AUT,INFRAINVEST,ROAD,EUR,A,2017,515000000,
AUT,INFRAINVEST,ROAD,EUR,A,2018,463000000,
BEL,INFRAINVEST,RAIL,EUR,A,2014,1107978558,B
BEL,INFRAINVEST,RAIL,EUR,A,2015,1005993900,
BEL,INFRAINVEST,RAIL,EUR,A,2016,959083668.6,
BEL,INFRAINVEST,RAIL,EUR,A,2017,880000000,
BEL,INFRAINVEST,ROAD,EUR,A,2014,417000000,
BEL,INFRAINVEST,ROAD,EUR,A,2015,778000000,P
BEL,INFRAINVEST,ROAD,EUR,A,2016,810000000,
BEL,INFRAINVEST,ROAD,EUR,A,2017,655906000,P
CAN,INFRAINVEST,RAIL,EUR,A,2014,962574135.9,
CAN,INFRAINVEST,RAIL,EUR,A,2015,1065180587,
CAN,INFRAINVEST,RAIL,EUR,A,2016,796508456.1,
CAN,INFRAINVEST,RAIL,EUR,A,2017,918464900.3,
CAN,INFRAINVEST,RAIL,EUR,A,2018,1081557966,P
CAN,INFRAINVEST,ROAD,EUR,A,2014,5108668220,B
CAN,INFRAINVEST,ROAD,EUR,A,2015,7214836462,
CAN,INFRAINVEST,ROAD,EUR,A,2016,7042672778,
CAN,INFRAINVEST,ROAD,EUR,A,2017,7481340454,
CAN,INFRAINVEST,ROAD,EUR,A,2018,6578805867,P
CZE,INFRAINVEST,RAIL,EUR,A,2014,454245019.2,
CZE,INFRAINVEST,RAIL,EUR,A,2015,1164925783,
CZE,INFRAINVEST,RAIL,EUR,A,2016,681496031,
CZE,INFRAINVEST,RAIL,EUR,A,2017,565612750.3,
CZE,INFRAINVEST,RAIL,EUR,A,2018,741057048.5,
CZE,INFRAINVEST,ROAD,EUR,A,2014,604013684,
CZE,INFRAINVEST,ROAD,EUR,A,2015,885358255.5,
CZE,INFRAINVEST,ROAD,EUR,A,2016,849231713.9,
CZE,INFRAINVEST,ROAD,EUR,A,2017,984191254.7,
CZE,INFRAINVEST,ROAD,EUR,A,2018,1044764479,
DNK,INFRAINVEST,RAIL,EUR,A,2014,1159371688,
DNK,INFRAINVEST,RAIL,EUR,A,2015,1308422492,
DNK,INFRAINVEST,RAIL,EUR,A,2016,1185026997,
DNK,INFRAINVEST,RAIL,EUR,A,2017,1228171589,
DNK,INFRAINVEST,RAIL,EUR,A,2018,1351365856,
DNK,INFRAINVEST,ROAD,EUR,A,2014,1101557365,
DNK,INFRAINVEST,ROAD,EUR,A,2015,1086396911,
DNK,INFRAINVEST,ROAD,EUR,A,2016,1099470814,
DNK,INFRAINVEST,ROAD,EUR,A,2017,1065643190,
DNK,INFRAINVEST,ROAD,EUR,A,2018,1083963935,
FIN,INFRAINVEST,RAIL,EUR,A,2014,643000000,
FIN,INFRAINVEST,RAIL,EUR,A,2015,567000000,
FIN,INFRAINVEST,RAIL,EUR,A,2016,537000000,
FIN,INFRAINVEST,RAIL,EUR,A,2017,521000000,
FIN,INFRAINVEST,RAIL,EUR,A,2018,491000000,
FIN,INFRAINVEST,ROAD,EUR,A,2014,1238000000,
FIN,INFRAINVEST,ROAD,EUR,A,2015,1243000000,
FIN,INFRAINVEST,ROAD,EUR,A,2016,1178000000,
FIN,INFRAINVEST,ROAD,EUR,A,2017,1235000000,
FIN,INFRAINVEST,ROAD,EUR,A,2018,1526000000,
FRA,INFRAINVEST,RAIL,EUR,A,2014,8921881000,
FRA,INFRAINVEST,RAIL,EUR,A,2015,8576194000,
FRA,INFRAINVEST,RAIL,EUR,A,2016,8614650000,
FRA,INFRAINVEST,RAIL,EUR,A,2017,9334770000,
FRA,INFRAINVEST,RAIL,EUR,A,2018,9901590000,
FRA,INFRAINVEST,ROAD,EUR,A,2014,10807203024,
FRA,INFRAINVEST,ROAD,EUR,A,2015,10011226322,
FRA,INFRAINVEST,ROAD,EUR,A,2016,9169000000,
FRA,INFRAINVEST,ROAD,EUR,A,2017,9084000000,
FRA,INFRAINVEST,ROAD,EUR,A,2018,9630130000,
DEU,INFRAINVEST,RAIL,EUR,A,2014,5543000000,
DEU,INFRAINVEST,RAIL,EUR,A,2015,5541000000,
DEU,INFRAINVEST,RAIL,EUR,A,2016,5192000000,
DEU,INFRAINVEST,RAIL,EUR,A,2017,5711000000,
DEU,INFRAINVEST,RAIL,EUR,A,2018,6145000000,
DEU,INFRAINVEST,ROAD,EUR,A,2014,12590000000,
DEU,INFRAINVEST,ROAD,EUR,A,2015,12160000000,
DEU,INFRAINVEST,ROAD,EUR,A,2016,12870000000,
DEU,INFRAINVEST,ROAD,EUR,A,2017,14240000000,
DEU,INFRAINVEST,ROAD,EUR,A,2018,15630000000,
GRC,INFRAINVEST,RAIL,EUR,A,2014,180605280.5,E
GRC,INFRAINVEST,RAIL,EUR,A,2015,220250025.7,E
GRC,INFRAINVEST,RAIL,EUR,A,2016,307757694.6,E
GRC,INFRAINVEST,RAIL,EUR,A,2017,227091679.2,E
GRC,INFRAINVEST,ROAD,EUR,A,2014,1597943957,E
GRC,INFRAINVEST,ROAD,EUR,A,2015,1385201658,E
GRC,INFRAINVEST,ROAD,EUR,A,2016,2843430923,E
GRC,INFRAINVEST,ROAD,EUR,A,2017,4101243142,E
HUN,INFRAINVEST,RAIL,EUR,A,2014,626656305.2,
HUN,INFRAINVEST,RAIL,EUR,A,2015,701286715.8,
HUN,INFRAINVEST,RAIL,EUR,A,2016,323165093.4,
HUN,INFRAINVEST,RAIL,EUR,A,2017,556053318.7,
HUN,INFRAINVEST,RAIL,EUR,A,2018,803129312.3,
HUN,INFRAINVEST,ROAD,EUR,A,2014,1238414974,
HUN,INFRAINVEST,ROAD,EUR,A,2015,1247677055,
HUN,INFRAINVEST,ROAD,EUR,A,2016,802745135.8,
HUN,INFRAINVEST,ROAD,EUR,A,2017,1280382187,
HUN,INFRAINVEST,ROAD,EUR,A,2018,1780313937,
ISL,INFRAINVEST,RAIL,EUR,A,2014,,M
ISL,INFRAINVEST,RAIL,EUR,A,2015,,M
ISL,INFRAINVEST,RAIL,EUR,A,2016,,M
ISL,INFRAINVEST,RAIL,EUR,A,2017,,M
ISL,INFRAINVEST,RAIL,EUR,A,2018,,M
ISL,INFRAINVEST,ROAD,EUR,A,2014,45289831.68,
ISL,INFRAINVEST,ROAD,EUR,A,2015,67402002.65,
ISL,INFRAINVEST,ROAD,EUR,A,2016,74669206.22,
ISL,INFRAINVEST,ROAD,EUR,A,2017,91030934.25,
ISL,INFRAINVEST,ROAD,EUR,A,2018,99401538.99,
IRL,INFRAINVEST,ROAD,EUR,A,2014,638000000,
IRL,INFRAINVEST,ROAD,EUR,A,2015,612000000,
ITA,INFRAINVEST,RAIL,EUR,A,2014,4742000000,
ITA,INFRAINVEST,RAIL,EUR,A,2015,2861000000,
ITA,INFRAINVEST,RAIL,EUR,A,2016,3524000000,P
ITA,INFRAINVEST,ROAD,EUR,A,2014,3860000000,
ITA,INFRAINVEST,ROAD,EUR,A,2015,5151000000,
ITA,INFRAINVEST,ROAD,EUR,A,2016,3511000000,P
ITA,INFRAINVEST,ROAD,EUR,A,2017,3409000000,
JPN,INFRAINVEST,RAIL,EUR,A,2014,8644266433,
JPN,INFRAINVEST,RAIL,EUR,A,2015,8880164753,
JPN,INFRAINVEST,RAIL,EUR,A,2016,9174734997,
JPN,INFRAINVEST,ROAD,EUR,A,2014,29831860730,
JPN,INFRAINVEST,ROAD,EUR,A,2015,28143419695,
JPN,INFRAINVEST,ROAD,EUR,A,2016,33274763980,
JPN,INFRAINVEST,ROAD,EUR,A,2017,31577903148,
KOR,INFRAINVEST,RAIL,EUR,A,2014,6175554277,
KOR,INFRAINVEST,RAIL,EUR,A,2015,8589265413,
KOR,INFRAINVEST,ROAD,EUR,A,2014,10904580720,
KOR,INFRAINVEST,ROAD,EUR,A,2015,13174242665,
LUX,INFRAINVEST,RAIL,EUR,A,2014,191503382,
LUX,INFRAINVEST,RAIL,EUR,A,2015,277740939,
LUX,INFRAINVEST,RAIL,EUR,A,2016,317180624,
LUX,INFRAINVEST,RAIL,EUR,A,2017,289998924,
LUX,INFRAINVEST,RAIL,EUR,A,2018,263917942,
LUX,INFRAINVEST,ROAD,EUR,A,2014,215135796.5,
LUX,INFRAINVEST,ROAD,EUR,A,2015,226610520.8,
